
str_no_string|NO STRING!
str_do_you_wish_to_surrender|你 想 投 降 吗 ？ 
str_can_not_retreat|不 能 撤 退 ！ 附 近 有 敌 人 。 
str_s1_joined_battle_enemy|{s7}作 为 敌 军 加 入 战 斗 。 
str_s1_joined_battle_friend|{s7}作 为 友 军 加 入 战 斗 。 
str_entrance_to_town_forbidden|这 里 的 守 卫 正 在 搜 寻 敌 人 ， 你 没 法 轻 易 从 大 门 溜 进 去 。 
str_sneaking_to_town_impossible|这 里 的 守 卫 警 惕 性 很 高 ， 不 管 你 怎 么 伪 装 都 没 法 溜 进 去 。 
str_battle_won|你 赢 得 了 这 场 战 斗 ！ 
str_battle_lost|你 输 掉 了 这 场 战 斗 ！ 
str_attack_walls_success|在 一 阵 浴 血 战 斗 之 后 ， 你 的 士 兵 奋 勇 攻 下 了 城 头 。 
str_attack_walls_failure|你 的 守 城 士 兵 在 一 波 又 一 波 的 攻 击 中 坚 持 到 了 最 后 一 个 人 。 
str_attack_walls_continue|浴 血 的 战 斗 展 现 了 双 方 的 英 勇 ， 尽 管 你 的 战 士 很 努 力 ， 城 堡 上 还 是 飘 起 了 敌 人 的 旗 帜 。 
str_order_attack_success|你 的 士 兵 奋 勇 击 退 了 敌 人 。 
str_order_attack_failure|你 看 着 敌 人 砍 翻 了 你 最 后 一 个 战 士 。 
str_order_attack_continue|你 的 士 兵 与 敌 人 遭 遇 ， 却 无 法 将 他 们 击 退 。 
str_join_order_attack_success|你 的 士 兵 和 你 的 盟 军 合 力 打 败 了 敌 人 。 
str_join_order_attack_failure|你 看 着 敌 人 砍 翻 了 你 最 后 一 个 战 士 。 
str_join_order_attack_continue|你 的 士 兵 和 盟 友 一 起 与 敌 厮 杀 ， 却 无 法 将 他 们 杀 光 。 
str_siege_defender_order_attack_success|防 守 方 奋 勇 杀 敌 ， 击 败 了 敌 人 。 
str_siege_defender_order_attack_failure|你 绝 望 地 看 着 围 攻 的 敌 人 杀 死 了 最 后 的 一 个 抵 抗 者 。 
str_siege_defender_order_attack_continue|防 守 方 迎 击 敌 人 ， 但 最 终 还 是 败 下 阵 来 。 
str_hero_taken_prisoner|{s3}的 {s1}被 {s2}俘 虏 。 
str_hero_freed|{s3}的 {s1}被 {s2}成 功 解 救 。 
str_center_captured|{s2}从 {s3}那 里 夺 取 了 {s1}。 
str_troop_relation_increased|你 与 {s1}的 关 系 从 {reg1}提 升 到 {reg2}。 
str_troop_relation_detoriated|你 与 {s1}的 关 系 从 {reg1}恶 化 为 {reg2}。 
str_faction_relation_increased|你 与 {s1}的 关 系 从 {reg1}提 升 到 {reg2}。 
str_faction_relation_detoriated|你 与 {s1}的 关 系 从 {reg1}恶 化 为 {reg2}。 
str_party_gained_morale|部 队 的 士 气 加 {reg1}。 
str_party_lost_morale|部 队 的 士 气 减 {reg1}。 
str_other_party_gained_morale|{s1}获 得 {reg1}士 气 。 
str_other_party_lost_morale|{s1}失 去 {reg1}士 气 。 
str_qst_follow_spy_noticed_you|那 个 间 谍 觉 察 到 你 了 ， 他 准 备 开 溜 了 ！ 
str_father|父 亲 
str_husband|丈 夫 
str_wife|妻 子 
str_daughter|女 儿 
str_mother|母 亲 
str_son|儿 子 
str_brother|兄 弟 
str_sister|姐 妹 
str_he|他 
str_she|她 
str_s3s_s2|{s3}的 {s2}
str_s5_is_s51|{s5}是 {s51}。 
str_s5_is_the_ruler_of_s51|{s5}是 {s51}的 领 主 。 
str_s5_is_a_nobleman_of_s6|{s5}是 {s6}的 贵 族 。 
str_relation_mnus_100|势 同 水 火 的 
str_relation_mnus_90|势 同 水 火 的 
str_relation_mnus_80|势 同 水 火 的 
str_relation_mnus_70|充 满 敌 意 的 
str_relation_mnus_60|充 满 敌 意 的 
str_relation_mnus_50|狠 狠 地 盯 着 你 的 
str_relation_mnus_40|非 常 讨 厌 你 的 
str_relation_mnus_30|开 始 厌 恶 你 的 
str_relation_mnus_20|警 惕 地 看 着 你 的 
str_relation_mnus_10|意 味 深 长 地 看 着 你 的 
str_relation_plus_0|与 你 并 不 熟 稔 
str_relation_plus_10|开 始 接 受 你 的 
str_relation_plus_20|友 善 地 看 着 你 的 
str_relation_plus_30|亲 切 地 看 着 你 的 
str_relation_plus_40|热 切 地 望 着 你 的 
str_relation_plus_50|对 你 交 口 称 赞 的 
str_relation_plus_60|非 常 支 持 你 
str_relation_plus_70|非 常 尊 敬 你 
str_relation_plus_80|为 你 欢 呼 
str_relation_plus_90|对 你 忠 心 耿 耿 
str_relation_mnus_100_ns|{s60}势 同 水 火 。 
str_relation_mnus_90_ns|{s60}极 度 仇 恨 你 。 
str_relation_mnus_80_ns|{s60}视 你 为 仇 敌 。 
str_relation_mnus_70_ns|{s60}对 你 怀 恨 在 心 。 
str_relation_mnus_60_ns|{s60}对 你 满 怀 敌 意 。 
str_relation_mnus_50_ns|{s60}对 你 怀 有 敌 意 。 
str_relation_mnus_40_ns|{s60}对 你 不 满 。 
str_relation_mnus_30_ns|{s60}开 始 厌 恶 你 。 
str_relation_mnus_20_ns|{s60}警 惕 地 看 着 你 。 
str_relation_mnus_10_ns|{s60}意 味 深 长 地 看 着 你 。 
str_relation_plus_0_ns|{s60}与 你 并 不 熟 稔 。 
str_relation_plus_10_ns|{s60}开 始 接 受 你 。 
str_relation_plus_20_ns|{s60}友 善 地 看 着 你 。 
str_relation_plus_30_ns|{s60}亲 切 地 看 着 你 。 
str_relation_plus_40_ns|{s60}热 切 地 望 着 你 。 
str_relation_plus_50_ns|{s60}友 好 地 望 着 你 。 
str_relation_plus_60_ns|{s60}非 常 支 持 你 。 
str_relation_plus_70_ns|{s60}非 常 尊 敬 你 。 
str_relation_plus_80_ns|{s60}为 你 欢 呼 。 
str_relation_plus_90_ns|{s60}对 你 忠 心 耿 耿 。 
str_relation_reg1|关 系 :{reg1}
str_center_relation_mnus_100|当 地 居 民 与 你 势 同 水 火 
str_center_relation_mnus_90|当 地 居 民 对 你 恨 之 入 骨 
str_center_relation_mnus_80|当 地 居 民 对 你 怒 视 
str_center_relation_mnus_70|当 地 居 民 对 你 充 满 敌 意 
str_center_relation_mnus_60|当 地 居 民 非 常 憎 恨 你 
str_center_relation_mnus_50|当 地 居 民 狠 狠 地 盯 着 你 
str_center_relation_mnus_40|当 地 居 民 非 常 讨 厌 你 
str_center_relation_mnus_30|当 地 居 民 开 始 厌 恶 你 
str_center_relation_mnus_20|当 地 居 民 警 惕 地 看 着 你 
str_center_relation_mnus_10|当 地 居 民 意 味 深 长 地 看 着 你 
str_center_relation_plus_0|当 地 居 民 与 你 并 不 熟 稔
str_center_relation_plus_10|当 地 居 民 开 始 接 受 你 
str_center_relation_plus_20|当 地 居 民 友 善 地 看 着 你 
str_center_relation_plus_30|当 地 居 民 亲 切 地 看 着 你 
str_center_relation_plus_40|当 地 居 民 热 切 地 望 着 你 
str_center_relation_plus_50|当 地 居 民 对 你 交 口 称 赞 
str_center_relation_plus_60|当 地 居 民 非 常 支 持 你 
str_center_relation_plus_70|当 地 居 民 非 常 尊 敬 你 
str_center_relation_plus_80|当 地 居 民 为 你 欢 呼 
str_center_relation_plus_90|当 地 居 民 对 你 忠 心 耿 耿 
str_town_prosperity_0|{s60}已 经 穷 困 到 了 无 法 忍 受 的 地 步 。 
str_town_prosperity_1|穷 困 的 {s60}里 到 处 都 是 绝 望 的 贫 民 ， 乞 丐 和 小 偷 。 
str_town_prosperity_2|管 理 混 乱 的 {s60}看 上 去 是 一 个 悲 惨 而 荒 凉 的 地 方 。 
str_town_prosperity_3|{s60}里 到 处 都 是 穷 人 和 无 业 游 民 。 
str_town_prosperity_4|{s60}看 上 去 穷 困 而 缺 乏 管 理 。 
str_town_prosperity_5|{s60}里 的 人 大 都 生 计 艰 难 。 
str_town_prosperity_6|{s60}看 上 去 毫 不 起 眼 。 
str_town_prosperity_7|{s60}看 起 来 很 有 活 力 。 
str_town_prosperity_8|不 断 发 展 的 {s60}看 起 来 充 满 生 机 。 
str_town_prosperity_9|繁 荣 的 {s60}到 处 都 是 商 机 。 
str_town_prosperity_10|整 洁 的 {s60}富 饶 而 有 序 。 
str_town_prosperity_11|一 尘 不 染 的 {s60}城 里 到 处 都 是 富 足 的 居 民 。 
str_town_prosperity_12|光 辉 灿 烂 的 {s60}公 开 的 炫 示 其 繁 荣 光 景 。 
str_village_prosperity_0|{s60}已 经 穷 困 到 了 无 法 忍 受 的 地 步 。 
str_village_prosperity_1|穷 困 的 {s60}看 上 去 凄 惨 无 比 。 
str_village_prosperity_2|管 理 混 乱 的 {s60}看 上 去 是 一 个 悲 惨 而 荒 凉 的 地 方 。 
str_village_prosperity_3|被 荒 地 和 破 屋 环 绕 的 {s60}看 上 去 很 穷 困 。 
str_village_prosperity_4|{s60}看 上 去 穷 困 而 缺 乏 管 理 。 
str_village_prosperity_5|{s60}里 的 人 大 都 生 计 艰 难 。 
str_village_prosperity_6|{s60}看 上 去 毫 不 起 眼 。 
str_village_prosperity_7|{s60}看 起 来 很 有 活 力 。 
str_village_prosperity_8|干 净 的 {s60}看 起 来 非 常 兴 旺 。 
str_village_prosperity_9|繁 荣 的 {s60}到 处 都 是 快 乐 的 场 景 。 
str_village_prosperity_10|干 净 的 {s60}看 起 来 富 裕 ， 繁 荣 而 有 序 。 
str_village_prosperity_11|一 尘 不 染 的 {s60}， 被 一 大 片 富 饶 的 土 地 所 环 绕 ， 看 起 来 非 常 富 足 。 
str_village_prosperity_12|大 片 富 饶 的 土 地 ， 百 姓 安 居 乐 业 的 {s60}， 是 致 富 有 方 的 好 领 主 的 最 好 象 征 。 
str_town_alt_prosperity_0|在 市 场 上 流 通 的 那 少 的 可 怜 的 商 品 也 明 显 的 超 出 了 居 民 所 能 负 担 的 范 围 ， 这 些 人 营 养 不 良 ， 他 们 的 牲 口 也 病 歪 歪 的 像 要 死 了 一 样 ， 而 且 他 们 交 易 的 工 具 也 都 破 破 烂 烂 的 ， 那 些 穷 街 陋 巷 都 遗 弃 给 了 成 堆 的 苍 蝇 和 成 群 的 狗 。 
str_town_alt_prosperity_20|你 听 到 人 们 在 抱 怨 市 场 里 日 用 品 的 价 格 而 且 半 数 东 西 都 缺 货 ， 你 看 到 人 和 动 物 们 都 是 营 养 不 良 的 样 子 ， 房 子 和 工 具 都 短 缺 而 且 需 要 修 补 ， 可 能 许 多 人 都 迁 到 别 的 地 方 去 找 份 工 作 去 了 。 
str_town_alt_prosperity_40|市 集 上 偶 尔 能 听 到 人 们 对 日 常 用 品 价 格 的 抱 怨 ， 但 货 品 供 应 似 乎 还 算 充 足 。 偶 尔 能 看 到 几 栋 废 弃 的 建 筑 、 店 铺 或 货 车 ， 但 总 体 还 算 寻 常 。 
str_town_alt_prosperity_60|人 们 看 上 去 营 养 良 好 ， 而 且 对 生 活 比 较 满 足 ， 工 匠 们 的 生 意 红 火 ， 还 有 一 些 移 民 从 别 的 地 方 来 这 里 ， 似 乎 是 想 试 试 运 气 。 
str_town_alt_prosperity_80|这 里 城 墙 ， 街 道 ， 和 住 宅 都 保 养 的 很 好 ， 市 场 里 聚 集 着 被 这 里 的 商 品 和 工 作 吸 引 的 附 近 地 区 的 移 民 ， 锤 打 声 和 织 布 机 声 此 起 彼 伏 ， 工 匠 们 的 作 坊 里 生 意 热 火 朝 天 。 
str_village_alt_prosperity_0|只 有 一 部 分 人 能 够 有 力 气 下 地 干 活 ， 许 多 田 地 因 此 荒 芜 ， 剩 下 的 人 大 多 面 黄 肌 瘦 不 堪 劳 作 ， 或 者 已 经 离 乡 乞 讨 去 了 ， 牲 口 们 要 么 已 经 很 久 没 有 喂 过 了 ， 要 么 干 脆 被 吃 掉 了 ， 其 中 的 一 些 残 骸 还 被 丢 在 外 面 的 地 上 ， 它 们 的 骨 头 被 野 兽 竞 相 啃 食 。 
str_village_alt_prosperity_20|有 一 些 人 和 牲 口 在 地 里 干 活 ， 但 是 数 量 不 多 ， 迫 使 部 分 村 民 不 得 不 背 井 离 乡 另 谋 生 路 ， 农 具 大 都 残 破 不 堪 ， 一 部 分 边 缘 的 田 地 看 上 去 就 要 被 灌 木 和 杂 草 重 新 占 领 了 。 
str_village_alt_prosperity_40|田 地 和 果 园 里 都 是 一 片 繁 忙 的 景 象 ， 村 民 们 都 按 着 时 节 忙 碌 手 头 的 活 计 ， 不 管 是 人 还 是 牲 口 看 上 去 都 健 康 强 壮 ， 不 过 还 是 有 一 部 分 田 地 被 抛 荒 了 ， 一 部 分 围 墙 看 上 去 急 需 修 葺 ， 看 来 这 个 村 子 的 人 手 还 不 是 很 宽 裕 。 
str_village_alt_prosperity_60|田 地 和 果 园 里 都 充 满 了 活 力 ， 随 处 可 见 的 小 麦 袋 和 风 干 肉 ， 是 这 个 村 子 农 田 和 牧 园 生 产 能 力 的 最 好 证 明 。 
str_village_alt_prosperity_80|田 地 和 果 园 里 都 充 满 了 活 力 ， 看 上 去 还 很 新 的 水 渠 说 明 这 个 村 子 的 农 民 在 耕 种 之 外 ， 还 有 足 够 的 经 历 和 时 间 来 干 这 些 活 计 ， 打 短 工 的 人 聚 集 在 此 帮 忙 干 活 ， 让 村 子 日 益 兴 旺 。 
str_oasis_village_alt_prosperity_0|那 片 棕 榈 树 林 几 乎 被 遗 弃 了 ， 那 些 灌 溉 它 的 水 渠 也 都 被 淤 泥 堵 塞 住 了 ， 你 所 见 到 的 那 些 村 民 都 面 黄 肌 瘦 劳 作 不 休 ， 牲 口 们 要 么 已 经 很 久 没 有 喂 过 了 ， 要 么 干 脆 被 吃 掉 了 ， 其 中 的 一 些 残 骸 还 被 丢 在 外 面 的 地 上 ， 它 们 的 骨 头 被 沙 漠 里 的 野 兽 竞 相 啃 食 。 
str_oasis_village_alt_prosperity_20|没 有 村 民 可 以 去 照 料 那 片 棕 榈 树 林 ， 在 有 些 地 方 沙 漠 已 经 侵 入 了 园 地 ， 许 多 水 渠 都 已 经 被 淤 泥 堵 塞 住 了 ， 水 井 和 储 水 池 都 灌 满 了 沙 子 。 
str_oasis_village_alt_prosperity_40|人 们 都 在 忙 着 照 料 那 片 棕 榈 树 林 ， 爬 上 树 顶 摘 取 果 实 ， 健 壮 的 牲 口 拖 着 唧 筒 和 运 水 的 小 车 向 地 里 走 去 ， 不 过 有 些 水 渠 和 储 水 池 需 要 进 行 一 些 维 护 了 。 
str_oasis_village_alt_prosperity_60|棕 榈 树 林 和 果 园 里 都 充 满 了 活 力 ， 农 民 们 在 树 顶 上 快 乐 的 对 着 彼 此 呼 喊 为 椰 枣 授 粉 ， 木 质 唧 筒 的 吱 嘎 声 ， 牲 口 的 叫 声 ， 在 村 民 精 心 维 护 下 的 纵 横 水 渠 让 村 子 显 得 欣 欣 向 荣 。 
str_oasis_village_alt_prosperity_80|棕 榈 树 林 里 充 满 了 活 力 ， 农 民 们 正 在 把 丰 收 的 椰 枣 装 起 来 运 到 市 场 上 去 卖 ， 人 们 都 忙 着 挖 掘 新 的 井 和 水 渠 ， 以 开 发 更 多 可 供 灌 溉 的 田 地 。 
str_acres_grain|成 片 的 耕 地 
str_acres_orchard|成 片 的 果 园 和 葡 萄 园 
str_acres_oasis|大 片 灌 溉 良 好 的 田 地 
str_looms|织 布 机 
str_boats|小 船 
str_head_cattle|牛 头 
str_head_sheep|羊 头 
str_mills|磨 房 
str_kilns|烧 窑 
str_pans|平 底 锅 
str_deposits|押 金 
str_hives|蜂 房 
str_breweries|酿 酒 厂 
str_presses|印 刷 机 
str_smithies|铁 匠 铺 
str_caravans|商 队 
str_traps|行 李 
str_gardens|小 花 园 
str_tanneries|制 革 桶 
str_master_miller|高 级 磨 坊 工 
str_master_brewer|高 级 酿 酒 工 
str_master_presser|高 级 压 榨 工 
str_master_smith|高 级 铁 匠 
str_master_tanner|高 级 皮 革 匠 
str_master_weaver|高 级 织 工 
str_master_dyer|高 级 染 匠 
str_war_report_minus_4|我 们 几 乎 要 输 掉 这 场 战 争 了 
str_war_report_minus_3|情 势 看 起 来 有 点 严 峻 
str_war_report_minus_2|战 事 进 展 得 不 太 顺 利 
str_war_report_minus_1|如 果 我 们 能 振 作 起 来 ， 我 们 还 是 可 以 赢 得 这 场 战 争 的 
str_war_report_0|我 们 与 敌 人 势 均 力 敌 
str_war_report_plus_1|我 们 有 一 定 机 会 赢 得 这 场 战 争 
str_war_report_plus_2|战 事 进 展 得 非 常 顺 利 
str_war_report_plus_3|打 败 他 们 完 全 不 成 问 题 
str_war_report_plus_4|我 们 几 乎 要 赢 得 这 场 战 争 了 
str_persuasion_summary_very_bad|你 尽 最 大 努 力 去 说 服 {s50}， 但 是 你 没 有 一 个 论 证 是 正 确 的 ， 每 次 你 开 始 想 使 表 达 的 东 西 变 得 有 意 义 ， 但 是 你 说 的 东 西 似 乎 都 是 彻 底 错 误 的 ， 以 至 于 使 你 自 己 的 思 路 都 断 了 ， 当 你 结 束 交 涉 的 时 候 ， 你 都 没 能 把 你 认 同 的 某 一 个 观 点 表 达 清 楚 ， 而 且 你 意 识 到 你 所 做 的 一 切 是 在 把 自 己 推 进 一 个 越 挖 越 深 的 大 坑 里 ， 毫 不 奇 怪 ， {s50}完 全 不 为 你 动 。 
str_persuasion_summary_bad|你 试 着 说 服 {s50}， 但 是 {reg51?她 :他 }从 最 开 始 起 就 提 防 着 你 ， 你 再 好 的 辩 论 对 于 你 自 己 的 耳 朵 而 言 也 还 是 那 么 空 洞 ， {s50}同 样 也 没 能 从 你 说 的 东 西 看 出 什 么 高 见 。 
str_persuasion_summary_average|{s50}被 证 实 是 一 个 有 着 尖 锐 思 想 且 很 能 辩 论 的 人 ， 你 基 本 就 没 有 办 法 使 {reg51?她 :他 }反 过 来 接 受 你 的 任 何 观 点 ， 最 终 在 这 场 辩 论 中 ， 你 们 两 人 都 没 能 使 对 方 偏 向 各 自 的 立 场 。 
str_persuasion_summary_good|凭 藉 敏 捷 的 思 维 和 流 畅 的 辩 论 ， 你 设 法 把 你 的 观 点 论 证 得 很 好 ， 迫 使 {s50}认 同 你 的 一 些 观 点 ， 然 而 {reg51?她 :他 }仍 然 对 你 的 要 求 表 示 怀 疑 。 
str_persuasion_summary_very_good|你 富 有 激 情 的 演 讲 像 诗 歌 一 样 在 听 众 耳 朵 里 回 想 ， 整 个 世 界 似 乎 都 安 静 下 来 以 便 更 清 楚 地 听 你 演 讲 ， 这 些 激 励 人 心 的 话 语 把 {s50}深 深 打 动 了 ， {reg51?她 :他 }看 起 来 非 常 乐 意 帮 助 你 。 
str_secret_sign_1|大 衣 柜 在 午 夜 的 时 候 跳 起 舞 来 … … 
str_secret_sign_2|我 正 在 卖 这 些 德 夏 挂 毯 ， 你 想 买 一 条 吗 ？ 
str_secret_sign_3|我 的 一 个 朋 友 的 朋 友 送 我 … … 
str_secret_sign_4|风 猛 烈 里 从 东 面 吹 来 ， 这 条 河 的 水 变 红 了 … … 
str_countersign_1|但 是 他 是 为 梳 妆 台 或 者 烛 台 而 跳 的 吗 ？ 
str_countersign_2|是 的 ， 我 想 买 一 条 ， 你 有 蓝 色 的 吗 ？ 
str_countersign_3|但 是 ， 我 的 朋 友 ， 你 朋 友 的 朋 友 没 有 一 个 朋 友 会 是 像 我 这 样 的 。 
str_countersign_4|你 生 病 了 吗 ？ 
str_name_1|沃 巴 得 
str_name_2|依 斯 卡 尔 
str_name_3|西 格 马 
str_name_4|泰 尔 斯 科 
str_name_5|里 特 曼 德 
str_name_6|艾 尔 斯 
str_name_7|劳 尔 克 
str_name_8|布 莱 格 马 斯 
str_name_9|塔 尔 
str_name_10|莱 明 
str_name_11|叙 尔 科 
str_name_12|普 它 
str_name_13|塔 玛 斯 
str_name_14|里 查 德 
str_name_15|沃 奇 斯 
str_name_16|鲁 尔 克 
str_name_17|马 伦 德 
str_name_18|奥 格 伦 
str_name_19|代 纳 德 
str_name_20|卓 亚 
str_name_21|莱 玛 
str_name_22|卡 尔 达 朗 
str_name_23|帕 瑞 斯 
str_name_24|昆 均 
str_name_25|帕 奇 拉 克 
str_name_26|托 马 斯 
str_name_27|阿 斯 特 里 
str_name_28|安 格 斯 
str_name_29|塔 尔 
str_name_30|巴 拉 克 
str_name_31|哈 拉 德 
str_name_32|艾 里 格 斯 
str_name_33|沃 尔 多 
str_name_34|安 森 
str_name_35|佩 尔 马 
str_name_36|哈 里 斯 
str_name_37|特 雷 文 内 
str_name_38|罗 斯 波 恩 
str_name_39|拉 斯 莫 尔 
str_name_40|塔 尼 斯 
str_name_41|曼 森 
str_name_42|雅 努 斯 
str_name_43|丹 顿 
str_name_44|哈 尔 
str_name_45|泰 萨 
str_name_46|吉 尔 德 罗 克 
str_name_47|波 曼 
str_name_48|洛 伦 
str_name_49|塞 谬 尔 克 
str_name_50|威 廉 
str_name_51|达 图 瓦 雅 
str_name_52|库 鲁 
str_name_53|特 克 斯 拉 
str_name_54|瓦 胡 阿 卡 
str_name_55|艾 登 
str_name_56|布 莱 德 罗 斯 
str_name_57|布 里 泰 尔 
str_name_58|辛 格 
str_name_59|格 里 夫 德 
str_name_60|葛 伯 度 
str_name_61|犹 迪 柴 尔 
str_name_62|哈 曼 
str_name_63|莫 尔 敏 
str_name_64|马 尔 尼 德 
str_name_65|波 尔 沙 
str_name_66|摩 尔 卡 那 
str_name_67|欧 森 
str_name_68|普 特 里 尔 
str_name_69|莱 斯 曼 
str_name_70|塔 冷 
str_name_71|古 依 冯 
str_name_73|哈 蒙 
str_name_74|犹 尔 里 斯 
str_name_75|拉 伯 
str_name_76|瓦 尔 尼 斯 
str_name_77|冯 热 维 
str_name_78|波 里 斯 
str_name_79|伯 尔 斯 
str_name_80|阿 瑟 
str_name_81|特 兰 斯 德 
str_name_82|布 拉 吉 
str_name_83|奥 斯 林 
str_name_84|巴 兰 
str_name_85|巴 里 克 
str_name_86|达 汗 
str_surname_1|长 河 镇 的 {s50}
str_surname_2|烈 狮 城 的 {s50}
str_surname_3|帝 临 港 的 {s50}
str_surname_4|峭 岩 湾 的 {s50}
str_surname_5|使 坠 湾 的 {s50}
str_surname_6|狮 湖 城 的 {s50}
str_surname_7|晓 炉 城 的 {s50}
str_surname_8|凛 鸦 城 的 {s50}
str_surname_9|托 巴 的 {s50}
str_surname_10|光 啸 湾 的 {s50}
str_surname_11|风 屿 港 的 {s50}
str_surname_12|雅 尔 港 的 {s50}
str_surname_13|长 歌 港 的 {s50}
str_surname_14|塔 恩 的 {s50}
str_surname_15| “ 鲜 红 ” {s50}
str_surname_16| “ 暗 影 行 者 ” {s50}
str_surname_17| “ 暗 影 ” {s50}
str_surname_18| “ 长 腿 ” {s50}
str_surname_19|巴 克 利 的 {s50}
str_surname_20|托 斯 达 的 {s50}
str_surname_21| “ 高 个 ” {s50}
str_surname_22|憔 悴 的 {s50}
str_surname_23| “ 丝 绸 胡 ” {s50}
str_surname_24| “ 麻 雀 ” {s50}
str_surname_25|穷 困 的 {s50}
str_surname_26|伤 痕 累 累 的 {s50}
str_surname_27|公 正 的 {s50}
str_surname_28|严 肃 的 {s50}
str_surname_29| “ 鲜 红 ” {s50}
str_surname_30| “ 黑 肤 ” {s50}
str_surname_31| “ 高 个 ” {s50}
