
dlga_magic_weapon_2:magic_weapon_a2|这 些 年 来 我 用 过 许 多 名 字 。 嗯 … … 我 想 你 可 以 叫 我 哈 米 达 隆 。 对 ， 这 听 起 来 挺 合 适 ， 不 是 吗 ？ 总 之 ， 我 正 在 等 待 客 户 上 门 呢 ， 你 是 其 中 之 一 吗 ？
dlga_magic_weapon_a2:magic_weapon_a3a|是 的 ， 我 想 这 名 字 和 你 很 配 。 我 不 确 定 是 不 是 要 买 东 西 … … 你 这 有 些 什 么 ？
dlga_magic_weapon_3a:magic_weapon_a3a|你 也 安 好 。 你 这 有 些 什 么 ？
dlga_magic_weapon_a3a:magic_weapon_a3|不 知 为 何 ， 我 出 售 凡 人 所 能 做 出 的 最 好 的 制 品 ， 但 几 乎 没 人 识 货 。 如 果 你 看 不 到 我 的 货 ， 那 表 示 时 候 还 不 对 ， 你 应 该 以 后 再 来 。 ^(需 要 龙 泪 宝 石 和 金 条 ， 神 奇 符 印 甲 战 马 还 额 外 需 要 潘 德 王 室 御 马 、 烈 狮 境 板 甲 战 马 或 凛 鸦 境 板 甲 战 马 ， 神 奇 符 印 银 甲 和 神 奇 符 印 乌 木 甲 还 额 外 需 要 神 奇 符 印 甲 )
dlga_magic_weapon_a3:preview_merchant_magic_weapon|待 价 而 沽 易 使 珠 玉 蒙 尘 ， 深 藏 不 露 怎 知 时 候 未 到 ？
dlga_preview_merchant_magic_weapon:close_window|也 好 ， 就 让 你 见 识 下 凡 器 中 的 顶 点 吧 。
dlga_magic_weapon_a3:close_window|我 想 买 那 把 符 印 斧 。
dlga_magic_weapon_a3:close_window.1|我 想 买 那 把 符 印 双 手 剑 。
dlga_magic_weapon_a3:close_window.2|我 想 买 那 把 符 印 剑 。
dlga_magic_weapon_a3:close_window.3|我 想 买 那 杆 符 印 长 刀 。
dlga_magic_weapon_a3:close_window.4|我 想 买 那 张 符 印 弓 。
dlga_magic_weapon_a3:close_window.5|我 想 买 那 两 把 符 印 匕 首 。
dlga_magic_weapon_a3:close_window.6|我 想 买 那 把 符 印 手 半 剑 。
dlga_magic_weapon_a3:close_window.7|我 想 买 那 把 符 印 双 手 斧 。
dlga_magic_weapon_a3:close_window.8|我 想 买 那 把 符 印 战 锤 。
dlga_magic_weapon_a3:close_window.9|我 想 买 那 杆 符 印 骑 枪 。
dlga_magic_weapon_a3:close_window.10|我 想 买 那 杆 符 印 矛 。
dlga_magic_weapon_a3:close_window.11|我 想 买 那 两 袋 符 印 投 矛 。
dlga_magic_weapon_a3:close_window.12|我 想 买 那 两 袋 符 印 投 掷 匕 首 。
dlga_magic_weapon_a3:close_window.13|我 想 买 那 两 袋 符 印 飞 刀 。
dlga_magic_weapon_a3:close_window.14|我 想 买 那 张 符 印 弩 。
dlga_magic_weapon_a3:close_window.15|我 想 买 那 面 符 印 盾 。
dlga_magic_weapon_a3:close_window.16|我 想 买 那 块 符 印 马 甲 。
dlga_magic_weapon_a3:close_window.17|我 想 买 那 件 符 印 银 甲 。
dlga_magic_weapon_a3:close_window.18|我 想 买 那 件 符 印 乌 木 甲 。
dlga_magic_weapon_a3:close_window.19|谢 谢 ， 我 走 了 。
dlga_start:magic_azziz_1|啊 ？ 过 来 ， 别 犹 豫 了 ， 快 点 ， 对 ， 对 ， 对 。 告 诉 你 个 秘 密 。 听 仔 细 了 。 哈 ！ 去 逮 只 鹌 鹑 ， 洗 剥 干 净 ， 拿 它 换 一 个 凡 人 的 作 品 ， 回 来 后 我 们 再 谈 ， 也 许 ， 嗯 ， 带 些 葡 萄 酒 来 就 更 好 了 ， 我 喜 欢 酒 。 【译 注 :鹌 鹑 (Quail )、龙 泪 (Qualis )】^^^^(*别 装 备 武 器 ， 放 在 物 品 栏 中 才 能 强 化 )
dlga_magic_azziz_1:close_window|秘 密 ？ 抓 鹌 鹑 ？ 葡 萄 酒 ？ 你 这 老 糊 涂 ！ 我 还 有 更 重 要 的 事 情 做 … … 再 会 吧 ！
dlga_start:magic_azziz_a1|嗯 ？ 又 是 你 ？ 怎 么 还 在 这 ？ 迷 路 了 ？ 【闻】嘿 嘿 … … 你 给 我 带 葡 萄 酒 了 ？
dlga_magic_azziz_a1:magic_weapon_a3|葡 萄 酒 ？ 没 错 ， 这 酒 给 你 。
dlga_magic_azziz_a1:close_window|不 ， 我 没 酒 ！【说 谎】
dlga_magic_weapon_a3:magic_azziz_a3|【嗝 ！】啊 啊 ！ 来 得 正 好 。 呃 ， 我 ， 们 ， 说 到 哪 了 ？ 哈 欠 ， 【呼 噜 声】… …
dlga_magic_azziz_a3:close_window|嘿 ！ 你 ！ ！ 起 来 ！ 老 糊 涂 ！
dlga_start:close_window.4|呃 ？ 又 是 你 … … 啥 ？ 没 酒 ?没 酒 ？ ！ ！ 再 见 ！ ！
dlga_start:magic_azziz_7|呃 ？ 又 是 你 … … 有 什 么 别 的 事 ？
dlga_magic_azziz_7:magic_azziz_9|也 许 … … 让 我 看 看
dlga_magic_azziz_9:magic_azziz_8|啊 ？ 嗯 … … 想 交 易 ？ 让 我 看 看 … …
dlga_magic_azziz_8:preview_crazy_magic_weapon|不 急 不 急 ， 先 让 我 看 看 都 有 什 么 好 东 西 。
dlga_preview_crazy_magic_weapon:close_window|赶 紧 的 ， 别 打 扰 老 头 子 喝 酒 ！
dlga_magic_azziz_8:close_window|用 符 印 斧 换 得 蓝 宝 石 符 印 斧 。
dlga_magic_azziz_8:close_window.1|用 符 印 斧 换 得 红 宝 石 符 印 斧 。
dlga_magic_azziz_8:close_window.2|用 符 印 斧 换 得 翡 翠 符 印 斧 。
dlga_magic_azziz_8:close_window.3|用 符 印 长 刀 换 得 蓝 宝 石 符 印 长 刀 。
dlga_magic_azziz_8:close_window.4|用 符 印 长 刀 换 得 红 宝 石 符 印 长 刀 。
dlga_magic_azziz_8:close_window.5|用 符 印 长 刀 换 得 翡 翠 符 印 长 刀 。
dlga_magic_azziz_8:close_window.6|用 符 印 剑 换 得 蓝 宝 石 符 印 剑 。
dlga_magic_azziz_8:close_window.7|用 符 印 剑 换 得 红 宝 石 符 印 剑 。
dlga_magic_azziz_8:close_window.8|用 符 印 剑 换 得 翡 翠 符 印 剑 。
dlga_magic_azziz_8:close_window.9|用 符 印 弓 换 得 蓝 宝 石 符 印 弓 。
dlga_magic_azziz_8:close_window.10|用 符 印 弓 换 得 红 宝 石 符 印 弓 。
dlga_magic_azziz_8:close_window.11|用 符 印 弓 换 得 翡 翠 符 印 弓 。
dlga_magic_azziz_8:close_window.12|用 符 印 双 手 剑 换 得 蓝 宝 石 符 印 双 手 剑 。
dlga_magic_azziz_8:close_window.13|用 符 印 双 手 剑 换 得 红 宝 石 符 印 双 手 剑 。
dlga_magic_azziz_8:close_window.14|用 符 印 双 手 剑 换 得 翡 翠 符 印 双 手 剑 。
dlga_magic_azziz_8:close_window.15|用 符 印 匕 首 换 得 蓝 宝 石 符 印 匕 首 。
dlga_magic_azziz_8:close_window.16|用 符 印 匕 首 换 得 红 宝 石 符 印 匕 首 。
dlga_magic_azziz_8:close_window.17|用 符 印 匕 首 换 得 翡 翠 符 印 匕 首 。
dlga_magic_azziz_8:close_window.18|用 符 印 手 半 剑 换 得 蓝 宝 石 符 印 手 半 剑 。
dlga_magic_azziz_8:close_window.19|用 符 印 手 半 剑 换 得 红 宝 石 符 印 手 半 剑 。
dlga_magic_azziz_8:close_window.20|用 符 印 手 半 剑 换 得 翡 翠 符 印 手 半 剑 。
dlga_magic_azziz_8:close_window.21|用 符 印 双 手 斧 换 得 蓝 宝 石 符 印 双 手 斧 。
dlga_magic_azziz_8:close_window.22|用 符 印 双 手 斧 换 得 红 宝 石 符 印 双 手 斧 。
dlga_magic_azziz_8:close_window.23|用 符 印 双 手 斧 换 得 翡 翠 符 印 双 手 斧 。
dlga_magic_azziz_8:close_window.24|用 符 印 战 锤 换 得 蓝 宝 石 符 印 战 锤 。
dlga_magic_azziz_8:close_window.25|用 符 印 战 锤 换 得 红 宝 石 符 印 战 锤 。
dlga_magic_azziz_8:close_window.26|用 符 印 战 锤 换 得 翡 翠 符 印 战 锤 。
dlga_magic_azziz_8:close_window.27|用 符 印 骑 枪 换 得 蓝 宝 石 符 印 骑 枪 。
dlga_magic_azziz_8:close_window.28|用 符 印 骑 枪 换 得 红 宝 石 符 印 骑 枪 。
dlga_magic_azziz_8:close_window.29|用 符 印 骑 枪 换 得 翡 翠 符 印 骑 枪 。
dlga_magic_azziz_8:close_window.30|用 符 印 矛 换 得 蓝 宝 石 符 印 矛 。
dlga_magic_azziz_8:close_window.31|用 符 印 矛 换 得 红 宝 石 符 印 矛 。
dlga_magic_azziz_8:close_window.32|用 符 印 矛 换 得 翡 翠 符 印 矛 。
dlga_magic_azziz_8:close_window.33|用 符 印 投 矛 换 得 蓝 宝 石 符 印 投 矛 。
dlga_magic_azziz_8:close_window.34|用 符 印 投 矛 换 得 红 宝 石 符 印 投 矛 。
dlga_magic_azziz_8:close_window.35|用 符 印 投 矛 换 得 翡 翠 符 印 投 矛 。
dlga_magic_azziz_8:close_window.36|用 符 印 投 掷 匕 首 换 得 蓝 宝 石 符 印 投 掷 匕 首 。
dlga_magic_azziz_8:close_window.37|用 符 印 投 掷 匕 首 换 得 红 宝 石 符 印 投 掷 匕 首 。
dlga_magic_azziz_8:close_window.38|用 符 印 投 掷 匕 首 换 得 翡 翠 符 印 投 掷 匕 首 。
dlga_magic_azziz_8:close_window.39|用 符 印 飞 刀 换 得 蓝 宝 石 符 印 飞 刀 。
dlga_magic_azziz_8:close_window.40|用 符 印 飞 刀 换 得 红 宝 石 符 印 飞 刀 。
dlga_magic_azziz_8:close_window.41|用 符 印 飞 刀 换 得 翡 翠 符 印 飞 刀 。
dlga_magic_azziz_8:close_window.42|用 符 印 弩 换 得 蓝 宝 石 符 印 弩 。
dlga_magic_azziz_8:close_window.43|用 符 印 弩 换 得 红 宝 石 符 印 弩 。
dlga_magic_azziz_8:close_window.44|用 符 印 弩 换 得 翡 翠 符 印 弩 。
dlga_magic_azziz_8:close_window.45|用 符 印 盾 换 得 蓝 宝 石 符 印 盾 。
dlga_magic_azziz_8:close_window.46|用 符 印 盾 换 得 红 宝 石 符 印 盾 。
dlga_magic_azziz_8:close_window.47|用 符 印 盾 换 得 翡 翠 符 印 盾 。
dlga_magic_azziz_8:close_window.48|用 符 印 马 甲 换 得 蓝 宝 石 符 印 马 甲 。
dlga_magic_azziz_8:close_window.49|用 符 印 马 甲 换 得 红 宝 石 符 印 马 甲 。
dlga_magic_azziz_8:close_window.50|用 符 印 马 甲 换 得 翡 翠 符 印 马 甲 。
dlga_magic_azziz_8:close_window.51|用 神 奇 符 印 甲 换 得 蓝 宝 石 符 印 甲 。
dlga_magic_azziz_8:close_window.52|用 神 奇 符 印 甲 换 得 红 宝 石 符 印 甲 。
dlga_magic_azziz_8:close_window.53|用 神 奇 符 印 甲 换 得 翡 翠 符 印 甲 。
dlga_magic_azziz_8:close_window.54|用 神 奇 符 印 银 甲 换 得 蓝 宝 石 符 印 银 甲 。
dlga_magic_azziz_8:close_window.55|用 神 奇 符 印 银 甲 换 得 红 宝 石 符 印 银 甲 。
dlga_magic_azziz_8:close_window.56|用 神 奇 符 印 银 甲 换 得 翡 翠 符 印 银 甲 。
dlga_magic_azziz_8:close_window.57|用 神 奇 符 印 乌 木 甲 换 得 蓝 宝 石 符 印 乌 木 甲 。
dlga_magic_azziz_8:close_window.58|用 神 奇 符 印 乌 木 甲 换 得 红 宝 石 符 印 乌 木 甲 。
dlga_magic_azziz_8:close_window.59|用 神 奇 符 印 乌 木 甲 换 得 翡 翠 符 印 乌 木 甲 。
dlga_magic_azziz_8:close_window.60|这 是 … … 等 等 ！ 别 藏 了 ， 我 要 换 这 件 蓝 宝 石 符 印 天 蓝 甲 ！
dlga_magic_azziz_8:close_window.61|这 是 … … 等 等 ！ 别 藏 了 ， 我 要 换 这 件 红 宝 石 符 印 黄 铜 甲 ！
dlga_magic_azziz_8:close_window.62|这 是 … … 等 等 ！ 别 藏 了 ， 我 要 换 这 件 翡 翠 符 印 墨 玉 甲 ！
dlga_magic_azziz_8:close_window.63|这 是 … … 等 等 ！ 别 藏 了 ， 我 要 换 这 件 紫 水 晶 符 印 甲 ！
dlga_magic_azziz_8:close_window.64|这 是 … … 等 等 ！ 别 藏 了 ， 我 要 换 这 件 绛 琥 珀 符 印 甲 ！
dlga_magic_azziz_8:close_window.65|这 是 … … 等 等 ！ 别 藏 了 ， 我 要 换 这 件 绿 松 石 符 印 甲 ！
dlga_magic_azziz_8:magic_azziz_10|… …
dlga_magic_azziz_10:magic_azziz_11|啊 ？
dlga_magic_azziz_11:magic_azziz_12|要 有 耐 心 ， 你 要 有 我 的 … … 嗯 … … ^^… … 龙 泪 宝 … … 印 武 器 … … 钻 石 … … 酒 … … 快 不 够 了 。
dlga_magic_azziz_12:close_window|老 糊 涂 … … 我 要 离 开 了 。
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|我 想 先 暂 缓 这 个 任 命 ， 等 我 听 取 了 其 他 人 的 意 见 之 后 ， 再 作 决 定 。
dlga_award_fief_to_vassal_defer:close_window|如 你 所 愿 ， {reg63?陛 下 :女 士 }， 你 可 以 改 日 再 作 决 定 。
dlga_award_fief_to_vassal_2:close_window|如 你 所 愿 ， {reg63?陛 下 :女 士 }， {reg6?我 :{reg7?你 :{s11}}}将 成 为 {s1}的 新 领 主 。
dlga_event_triggered:center_captured_rebellion|{s1}目 前 还 无 人 治 理 ， 我 应 该 把 这 里 交 给 谁 呢 ？
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}。 {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|拜 托 了 ， 陛 下 ， 我 想 把 {s1}留 给 自 己 。 (封 地 : {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|陛 下 ， 你 可 以 保 留 {s1}。 (封 地 :{s0})
dlga_center_captured_rebellion_2:close_window|嗯 ， 好 吧 ， {playername}。 我 很 看 重 你 的 意 见 ， {reg6?我 :{reg7?你 :{s11}}}将 会 是 {s1}的 新 领 主 。
dlga_start:fighter_talk|你 好 。 我 们 正 在 进 行 对 战 训 练 ， 以 免 生 疏 了 技 艺 。 看 上 去 你 也 需 要 来 一 场 训 练 。 何 不 加 入 我 们 呢 ， 我 们 能 教 你 一 些 诀 窍 。 如 果 你 有 任 何 有 关 战 斗 的 问 题 ， 说 出 来 ， 我 会 尽 力 为 你 解 答 。
dlga_start:fighter_talk.1|你 想 练 习 什 么 ？
dlga_fighter_pretalk:fighter_talk|告 诉 我 你 想 要 进 行 哪 种 练 习 。
dlga_fighter_talk:fighter_talk_train_attack|我 想 练 习 攻 击 。
dlga_fighter_talk:fighter_talk_train_parry|我 想 练 习 用 武 器 格 挡 。
dlga_fighter_talk:fighter_talk_train_combat|我 们 来 点 对 战 练 习 吧 。
dlga_fighter_talk:close_window|离 开 。
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|好 ， 攻 击 的 基 本 方 向 有 四 个 ， 分 别 是 竖 直 劈 砍 、 右 侧 挥 击 ， 左 侧 挥 击 和 正 面 突 刺 。 接 下 来 ， 由 我 来 指 示 攻 击 方 向 ， 你 要 尽 量 按 照 指 令 做 出 正 确 的 攻 击 动 作 。^^( 按 下 滑 鼠 左 键 的 同 时 ， 移 动 你 的 滑 鼠 以 指 定 攻 击 方 向 。 比 如 ， 要 完 成 一 次 竖 直 劈 砍 ， 你 需 要 在 按 下 滑 鼠 左 键 的 瞬 间 ， 向 下 移 动 滑 鼠 。 萤 幕 上 的 图 标 会 帮 助 你 做 出 正 确 的 动 作 。 )
dlga_fighter_talk_train_attack_2:close_window|让 我 们 开 始 吧 ， 我 已 经 准 备 好 了 。
dlga_fighter_talk_train_attack_2:fighter_pretalk|其 实 ， 我 想 要 干 点 儿 别 的 。
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|与 使 用 盾 牌 不 同 ， 用 武 器 格 挡 只 能 防 住 来 自 一 个 方 向 上 的 进 攻 。 比 如 ， 如 果 你 上 挡 ， 可 以 防 住 竖 直 劈 砍 ， 但 是 你 仍 然 会 被 侧 面 挥 击 和 突 刺 击 中 。^^( 你 必 须 按 住 滑 鼠 右 键 来 格 挡 )
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|接 下 来 我 会 摆 出 各 种 不 同 的 攻 击 姿 势 ， 并 且 保 持 这 些 姿 势 直 到 你 作 出 正 确 的 格 挡 动 作 ， 试 着 用 最 快 的 速 度 来 作 出 正 确 的 格 挡 吧 。^^( 在 默 认 的 “自 动 格 挡” 设 置 下 ， 这 项 练 习 会 很 简 单 。 如 果 把 “ 选 项 ” 选 单 里 的 “控 制 格 挡 方 向” 一 项 改 为 “根 据 滑 鼠 运 动 方 向” 或 者 “键 盘 动 作” ， 那 么 你 需 要 手 动 控 制 格 挡 方 向 ， 这 样 会 使 难 度 增 加 ， 但 同 时 游 戏 的 乐 趣 也 增 加 了 。 如 果 你 选 择 手 动 控 制 格 挡 方 向 的 话 ， 那 么 这 个 练 习 是 非 常 有 益 的 。 )
dlga_fighter_talk_train_parry_3:close_window|让 我 们 开 始 吧 ， 我 已 经 准 备 好 了 。
dlga_fighter_talk_train_parry_3:fighter_pretalk|实 际 上 ， 我 想 要 干 点 儿 别 的 。
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|对 战 练 习 是 为 实 战 作 准 备 的 一 种 极 佳 方 法 。 现 在 ， 让 我 们 用 不 会 致 命 的 武 器 来 进 行 对 战 ， 直 到 我 们 中 的 一 方 倒 地 不 起 为 止 。 你 也 许 会 在 练 习 中 被 打 得 遍 体 鳞 伤 ， 不 过 这 总 比 在 真 正 的 战 场 上 被 人 砍 死 来 得 好 些 。
dlga_fighter_talk_train_combat_2:close_window|让 我 们 开 始 吧 ， 我 已 经 准 备 好 了 。
dlga_fighter_talk_train_combat_2:fighter_pretalk|实 际 上 ， 我 想 要 干 点 儿 别 的 。
dlga_start:fighter_parry_try_again|很 好 。 你 已 经 能 够 成 功 的 格 挡 住 我 的 进 攻 了 。 你 可 以 重 复 这 个 练 习 并 且 试 着 让 以 后 每 次 的 动 作 都 能 更 加 迅 速 一 点 ， 直 到 你 对 自 己 的 防 守 技 术 充 满 自 信 为 止 。 你 要 再 来 一 次 吗 ？
dlga_start:fighter_parry_try_again.1|练 习 进 行 得 不 太 顺 利 ， 是 吧 ？ ( 记 住 ， 你 必 须 按 住 滑 鼠 右 键 才 能 有 效 格 挡 )还 要 来 一 次 吗 ？
dlga_fighter_parry_try_again:fighter_talk_train_parry|是 的 ， 我 们 再 来 一 次 。
dlga_fighter_parry_try_again:fighter_talk_leave_parry|算 了 ， 暂 时 就 到 这 儿 吧 。
dlga_start:fighter_parry_warn|嘿 ， 伙 计 ， 我 们 做 的 是 格 挡 练 习 ！ 你 应 该 格 挡 ， 而 不 是 回 击 。
dlga_fighter_parry_warn:fighter_talk_train_parry|我 很 抱 歉 ， 再 来 一 次 吧 。
dlga_fighter_parry_warn:fighter_talk_leave_parry|抱 歉 ， 我 得 马 上 结 束 这 项 练 习 。
dlga_fighter_talk_leave_parry:close_window|好 吧 ， 如 你 所 愿 。
dlga_start:fighter_combat_try_again|练 习 进 行 得 不 太 顺 利 ， 是 吧 ？ 别 灰 心 ， 下 次 别 犯 同 样 的 错 误 就 是 了 。 想 再 来 一 次 吗 ？
dlga_fighter_combat_try_again:fighter_talk_train_combat|是 的 ， 我 们 再 来 一 次 。
dlga_fighter_combat_try_again:fighter_talk_leave_combat|不 必 了 ， 对 我 来 说 已 经 够 了 。
dlga_fighter_talk_leave_combat:close_window|嗯 ， 好 吧 。 如 果 你 改 变 了 主 意 ， 再 来 跟 我 谈 谈 。
dlga_start:fighter_combat_try_again.1|嘿 ， 这 场 对 战 真 不 赖 ， 你 打 败 我 了 。 不 过 下 一 次 我 会 更 小 心 的 ， 想 再 来 一 次 吗 ？
dlga_start:fighter_talk.2|很 好 。 你 已 经 学 会 怎 样 自 如 地 从 任 何 方 向 进 攻 了 。 如 果 你 愿 意 我 们 可 以 再 试 一 次 ， 或 者 去 进 行 另 一 个 难 一 点 的 训 练 。
dlga_start:archer_challenge_2|不 错 ， 相 当 不 错 ！ 你 似 乎 已 经 抓 住 箭 术 的 要 领 了 。 接 下 来 ， 试 试 用 弩 来 射 击 吧 。 拿 着 这 把 弩 ， 以 及 放 在 那 边 的 弩 箭 ， 射 那 三 个 靶 子 。 弩 比 弓 更 容 易 掌 握 ， 不 过 每 一 次 射 击 之 后 需 要 重 新 上 弦 。
dlga_start:archer_challenge_2.1|很 好 ， 你 对 弩 的 使 用 也 没 什 么 太 大 的 问 题 。 接 下 来 你 要 学 习 如 何 使 用 投 掷 武 器 。 拿 上 那 边 的 标 枪 ， 对 着 那 三 个 靶 子 投 掷 。
dlga_start:ranged_end|好 ， 你 已 经 掌 握 了 使 用 三 种 远 程 武 器 的 基 本 技 能 ， 剩 下 的 就 是 练 习 了 ， 日 复 一 日 地 练 习 ， 总 有 一 天 你 会 跟 潘 德 最 棒 的 神 射 手 一 样 厉 害 。
dlga_ranged_end:close_window|现 在 ， 如 果 你 还 没 跟 格 斗 士 们 和 骑 术 教 练 见 过 面 的 话 ， 那 么 去 跟 他 们 谈 谈 。 他 们 也 能 教 给 你 一 些 重 要 的 技 能 。
dlga_start:archer_talk|你 好 啊 ， 年 轻 人 。 我 整 天 都 在 这 里 教 那 些 愿 意 学 习 的 人 怎 么 使 用 远 程 武 器 。 如 果 你 需 要 指 导 ， 只 管 来 找 我 ， 我 会 教 你 怎 么 使 用 弓 ， 弩 和 标 枪 。
dlga_archer_talk:archer_challenge|好 的 ， 教 我 怎 么 使 用 远 程 武 器 吧 。
dlga_archer_talk:close_window|不 ， 现 在 不 用 。
dlga_archer_challenge:archer_challenge_2|好 ， 你 首 先 要 练 习 弓 箭 课 程 。 弓 是 一 种 难 以 掌 握 的 武 器 。 不 过 一 旦 你 精 通 此 技 ， 你 就 能 射 得 既 快 又 准 。 去 那 边 捡 起 你 看 到 的 弓 和 箭 并 且 射 击 那 些 目 标 吧 。
dlga_archer_challenge_2:close_window|好 的 ， 我 准 备 好 了 。
dlga_archer_challenge_2:close_window.1|等 一 下 ， 我 要 先 去 做 点 别 的 事 情 。
dlga_start:horseman_melee_challenge_2|我 希 望 你 享 受 这 骑 马 的 感 觉 。 现 在 我 们 来 进 行 些 有 难 度 的 。 去 那 儿 拿 起 你 看 到 的 骑 枪 ， 然 后 骑 着 马 在 跑 道 上 跑 动 并 且 至 少 击 中 每 个 目 标 一 次 。
dlga_start:horseman_melee_challenge_2.1|很 好 ！ 你 已 经 能 在 马 背 上 击 中 所 有 的 目 标 了 。 那 对 于 新 手 来 说 可 不 简 单 。 你 的 下 一 项 挑 战 将 是 使 用 弓 和 箭 去 射 击 沿 路 的 箭 靶 。 你 要 在 每 个 靶 子 上 都 留 下 一 支 箭 来 证 明 你 成 功 命 中 了 。
dlga_start:horsemanship_end|很 好 。 你 已 经 能 在 马 背 上 射 中 所 有 的 目 标 了 。 坚 持 每 天 骑 马 练 习 ， 有 一 天 你 会 成 为 一 名 专 业 骑 手 。
dlga_horsemanship_end:close_window|现 在 ， 如 果 你 还 没 跟 格 斗 士 们 和 箭 术 教 练 见 过 面 的 话 ， 那 么 去 跟 他 们 谈 谈 。 你 得 尽 你 的 最 大 努 力 学 习 任 何 你 能 学 到 的 东 西 ， 以 使 你 能 在 不 得 不 进 行 自 卫 的 时 候 有 所 准 备 。
dlga_start:horseman_talk|你 好 ！ 我 本 打 算 来 这 里 练 习 骑 术 ， 但 是 我 这 把 老 骨 头 现 在 疼 得 厉 害 ， 所 以 我 决 定 今 天 就 休 息 一 下 。 如 果 你 打 算 练 习 骑 术 ， 你 可 以 用 我 的 马 。 练 习 对 她 总 是 有 好 处 的 。
dlga_horseman_talk:horseman_challenge|是 ， 我 打 算 练 习 骑 术 。
dlga_horseman_talk:close_window|嗯 ， 以 后 再 说 吧 。
dlga_horseman_challenge:horseman_melee_challenge_2|很 好 。 现 在 我 要 给 你 来 点 训 练 ， 我 要 教 你 骑 术 和 马 上 武 器 的 运 用 。 你 的 第 一 个 任 务 很 简 单 。 只 要 骑 上 你 的 马 在 跑 道 上 跑 一 圈 。 随 便 你 跑 的 慢 还 是 快 。 当 你 觉 得 你 骑 的 很 自 如 了 就 回 来 ， 我 会 再 给 你 些 难 点 的 训 练 。
dlga_horseman_melee_challenge_2:close_window|好 的 ， 我 准 备 好 了 。
dlga_horseman_melee_challenge_2:close_window.1|等 一 下 ， 我 要 先 去 做 点 别 的 事 情 。
dlga_tutorial_troop_default:close_window|嘿 ， 我 正 在 这 里 练 习 呢 。 如 果 你 想 得 到 关 于 远 程 武 器 的 指 导 ， 去 跟 箭 术 教 练 谈 谈 吧 。
dlga_start:lord_prison_break_confirm_3|计 划 有 变 动 吗 ？
dlga_start:lord_prison_break|发 生 什 么 事 了 ？
dlga_start:drunk_response|你 在 看 什 么 ？
dlga_start:drunk_response.1|你 在 看 我 ？
dlga_player_duel_response:close_window|这 个 人 渣 ！
dlga_player_duel_response:close_window.1|他 死 了 总 比 我 挂 了 强 。
dlga_drunk_response:drunk_fight_start|我 不 肯 定 … … 但 明 显 是 某 种 动 物 。
dlga_drunk_response:drunk_fight_start.1|对 不 起 ， 请 接 受 我 的 道 歉 。
dlga_drunk_fight_start:close_window|我 会 让 你 的 傻 笑 从 你 脸 上 彻 底 消 失 ！
dlga_drunk_response:drunk_player_high_renown|你 难 道 认 不 出 我 吗 ？
dlga_drunk_player_high_renown:drunk_fight_start|我 才 不 在 乎 呢 ！
