
p_zendar|禅 达　
p_four_ways_inn|四 方 客 栈　
p_test_scene|测 试 场 景　
p_battlefields|战 场　
p_dhorak_keep|多 拉 克 要 塞　
p_old_ruins|古 老 废 墟　
p_castle_noldor|艾 拉 克 莱　
p_snake_stronghold|蛇 教 据 点　
p_training_ground|训 练 场　
p_training_ground_1|训 练 场 1　
p_training_ground_2|训 练 场 2　
p_training_ground_3|训 练 场 3　
p_training_ground_4|训 练 场 4　
p_training_ground_5|训 练 场 5　
p_steppe_bandit_spawn_point|德 夏 袭 击 者 巢 穴　
p_steppe_bandit2_spawn_point|强 盗 巢 穴　
p_steppe_bandit3_spawn_point|强 盗 巢 穴　
p_forest_bandit_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit2_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit3_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit4_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit5_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit6_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit7_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit8_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit9_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit10_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit11_spawn_point|绿 林 强 盗 巢 穴　
p_forest_bandit12_spawn_point|绿 林 强 盗 巢 穴　
p_heretic_spawn_point|异 端 巢 穴　
p_a_spawn_point|异 端 巢 穴　
p_b_spawn_point|异 端 巢 穴　
p_c_spawn_point|异 端 巢 穴　
p_color1_red_spawn_point|烈 狮 境 叛 徒 红 色 刷 新 点　
p_color2_yellow_spawn_point|帝 国 叛 徒 黄 色 刷 新 点　
p_color3_blue_spawn_point|凛 鸦 境 叛 徒 蓝 色 刷 新 点　
p_color4_green_spawn_point|菲 尔 兹 威 叛 徒 绿 色 刷 新 点　
p_color5_black_spawn_point|外 来 叛 乱 者 黑 色 刷 新 点　
p_generic1_spawn_point|通 用 部 队 刷 新 点　
p_generic2_bandit_spawn_point|通 用 部 队 刷 新 点　
p_omega_spawn_point|部 队 刷 新 点　
p_alpha_spawn_point|部 队 刷 新 点　
p_beta_spawn_point|部 队 刷 新 点　
p_mystmountain_spawn_point|迷 雾 山 巢 穴　
p_mountain_bandit_spawn_point|高 地 强 盗 巢 穴　
p_mountain_bandit2_spawn_point|高 地 强 盗 巢 穴　
p_sea_raider_spawn_point_1|凡 斯 凯 瑞 登 陆 地　
p_sea_raider_spawn_point_2|凡 斯 凯 瑞 入 侵 者 巢 穴　
p_sea_raider_spawn_point_3|凡 斯 凯 瑞 入 侵 者 巢 穴　
p_snake_cult1_spawn_point|蛇 教 神 殿　
p_snake_cult2_spawn_point|蛇 教 神 殿　
p_noldor_elves_spawn_point|诺 多 神 秘 都 市　
p_jatu_nomads_spawn_point|迦 图 山 寨　
p_jatu_nomads2_spawn_point|迦 图 山 寨　
p_inquisition1_spawn_point|审 判 庭 
p_inquisition2_spawn_point|审 判 庭 
p_inquisition3_spawn_point|审 判 庭 
p_inquisition4_spawn_point|审 判 庭 
p_ringer_1_spawn_point|刷 新 点　
p_ringer_2_spawn_point|刷 新 点　
p_ringer_3_spawn_point|刷 新 点　
p_ringer_4_spawn_point|刷 新 点　
p_parties_end|parties end　
