
pt_none|无 
pt_kingdom_2_reinforcements_c|凛 鸦 王 国 征 兵 模 板 c 
pt_kingdom_3_reinforcements_a|德 夏 公 国 征 兵 模 板 a 
pt_kingdom_3_reinforcements_b|德 夏 公 国 征 兵 模 板 b 
pt_kingdom_3_reinforcements_c|德 夏 公 国 征 兵 模 板 c 
pt_kingdom_4_reinforcements_a|菲 尔 兹 威 征 兵 模 板 a 
pt_kingdom_4_reinforcements_b|菲 尔 兹 威 征 兵 模 板 b 
pt_kingdom_4_reinforcements_c|菲 尔 兹 威 征 兵 模 板 c 
pt_kingdom_5_reinforcements_a|巴 克 斯 帝 国 征 兵 模 板 a 
pt_kingdom_5_reinforcements_b|巴 克 斯 帝 国 征 兵 模 板 b 
pt_kingdom_5_reinforcements_c|巴 克 斯 帝 国 征 兵 模 板 c 
pt_kingdom_6_reinforcements_a|潘 德 王 国 征 兵 模 板 a 
pt_kingdom_6_reinforcements_b|潘 德 王 国 征 兵 模 板 b 
pt_kingdom_6_reinforcements_c|潘 德 王 国 征 兵 模 板 c 
pt_lethaldiran_reinforcements_a|里 萨 迪 兰 征 兵 模 板 a 
pt_lethaldiran_reinforcements_b|里 萨 迪 兰 征 兵 模 板 b 
pt_lethaldiran_reinforcements_c|里 萨 迪 兰 征 兵 模 板 c 
pt_boadice_reinforcements_a|宝 黛 丝 征 兵 模 板 a 
pt_boadice_reinforcements_b|宝 黛 丝 征 兵 模 板 b 
pt_boadice_reinforcements_c|宝 黛 丝 征 兵 模 板 c 
pt_frederick_reinforcements_a|弗 雷 德 里 征 兵 模 板 a 
pt_frederick_reinforcements_b|弗 雷 德 里 征 兵 模 板 b 
pt_frederick_reinforcements_c|弗 雷 德 里 征 兵 模 板 c 
pt_donavan_reinforcements_a|多 诺 万 征 兵 模 板 a 
pt_donavan_reinforcements_b|多 诺 万 征 兵 模 板 b 
pt_donavan_reinforcements_c|多 诺 万 征 兵 模 板 c 
pt_adonja_reinforcements_a|安 冬 嘉 征 兵 模 板 a 
pt_adonja_reinforcements_b|安 冬 嘉 征 兵 模 板 b 
pt_adonja_reinforcements_c|安 冬 嘉 征 兵 模 板 c 
pt_rayne_reinforcements_a|雷 恩 征 兵 模 板 a 
pt_rayne_reinforcements_b|雷 恩 征 兵 模 板 b 
pt_rayne_reinforcements_c|雷 恩 征 兵 模 板 c 
pt_roland_reinforcements_a|罗 兰 征 兵 模 板 a 
pt_roland_reinforcements_b|罗 兰 征 兵 模 板 b 
pt_roland_reinforcements_c|罗 兰 征 兵 模 板 c 
pt_alistair_reinforcements_a|阿 利 斯 泰 征 兵 模 板 a 
pt_alistair_reinforcements_b|阿 利 斯 泰 征 兵 模 板 b 
pt_alistair_reinforcements_c|阿 利 斯 泰 征 兵 模 板 c 
pt_steppe_bandit_lair|德 夏 响 马 老 巢 
pt_snake_bandit_lair|拜 蛇 教 圣 殿 
pt_forest_bandit_lair|绿 林 强 盗 营 地 
pt_mountain_bandit_lair|迷 雾 山 盗 匪 藏 身 处 
pt_sea_raider_lair|凡 斯 凯 瑞 海 寇 码 头 
pt_looter_lair|绑 匪 老 窝 
pt_treasure_lair|藏 宝 图 位 置 
pt_leaded_looters|盗 贼 团 
pt_looters_quest|抢 匪 团 
pt_lion_knights_army|狮 骑 士 团 讨 伐 大 军 
pt_undead_legion|亡 灵 军 团 
pt_undead_legion_patrol|亡 灵 军 团 先 锋 
pt_killer_regiment|复 国 者 抹 杀 团 
pt_pendor_praetorian|敕 令 骑 士 战 队 
pt_singalian_slaver_brigade|辛 加 尔 贩 奴 大 队 
pt_Knights_of_the_Dawn_killers|黎 明 骑 士 团 追 兵 
pt_Knight_of_the_Raven_Spear_army|阿 卡 杜 拉 的 部 队 
pt_Ranger_of_the_Clarion_army|沃 尔 特 的 部 队 
pt_Noldor_army|凯 伊 的 部 队 
pt_the_legion_of_euryale_of_the_enclave_of_the_viper|蝮 蛇 至 高 信 者 分 支 尤 瑞 艾 莉 军 团 
pt_the_legion_of_euryale_of_the_enclave_of_the_viper_patrol|蝮 蛇 至 高 信 者 分 支 尤 瑞 艾 莉 军 团 巡 逻 队 
pt_merc_army_1|雇 佣 军 
pt_merc_army_2|雇 佣 军 
pt_merc_army_3|雇 佣 军 
pt_kingdom_2_new_reinforcements_a|凛 鸦 王 国 新 征 兵 模 板 a
pt_kingdom_2_new_reinforcements_b|凛 鸦 王 国 新 征 兵 模 板 b
pt_kingdom_2_new_reinforcements_c|凛 鸦 王 国 新 征 兵 模 板 c
pt_kingdom_7_reinforcements_a|马 里 廷 征 兵 模 板 a
pt_kingdom_7_reinforcements_b|马 里 廷 征 兵 模 板 b
pt_kingdom_7_reinforcements_c|马 里 廷 征 兵 模 板 c
pt_the_legion_of_stheno_of_the_enclave_of_the_cobra|眼 镜 蛇 至 高 信 者 分 支 丝 西 娜 军 团 
pt_the_legion_of_stheno_of_the_enclave_of_the_cobra_patrol|眼 镜 蛇 至 高 信 者 分 支 丝 西 娜 军 团 巡 逻 队 
pt_the_vanguard_of_the_enclave_of_the_anaconda|巨 蟒 至 高 信 者 分 支 先 遣 队 
pt_the_vanguard_of_the_enclave_of_the_viper|蝮 蛇 至 高 信 者 分 支 先 遣 队 
pt_the_vanguard_of_the_enclave_of_the_cobra|眼 镜 蛇 至 高 信 者 分 支 先 遣 队 
pt_npc_warband|同 伴 部 队 
pt_merc_group|佣 兵 团 
pt_kingdom_8_reinforcements_a|菲 卡 维 亚 征 兵 模 板 a
pt_kingdom_8_reinforcements_b|菲 卡 维 亚 征 兵 模 板 b
pt_kingdom_8_reinforcements_c|菲 卡 维 亚 征 兵 模 板 c
pt_foreign_mercenary|外 族 雇 佣 兵 
pt_night_danger|夜 幕 獠 牙 
pt_heretics_presbyter|异 端 祭 司 
pt_netherworld_demon|冥 界 恶 魔 
pt_kingdom_9_reinforcements_a|梅 滕 海 姆 征 兵 模 板 a 
pt_kingdom_9_reinforcements_b|梅 滕 海 姆 征 兵 模 板 b 
pt_kingdom_9_reinforcements_c|梅 滕 海 姆 征 兵 模 板 c 
pt_vanskerry_haggar|“ 三 指 ” 哈 格 侵 略 大 军 
pt_disaster_embodiment|灾 厄 化 身 
