
qstr_Next_Page|下 一 页 
qstr_Hold_This_Position|坚 守 此 地 
qstr_Spread_Out|散 开 
qstr_Stand_Closer|聚 拢 
qstr_Fall_Back|退 后 
qstr_Advance|前 进 
qstr_Dismount|下 马 
qstr_Fire_At_Will|任 意 射 击 
qstr_Hold_Your_Fire|停 止 射 击 
qstr_Use_Blunt_Weapons|使 用 钝 击 武 器 
qstr_Use_Any_Weapon|使 用 任 意 武 器 
qstr_Ready|准 备 
qstr_Wounded|受 伤 
qstr_Dead|死 亡 
qstr_Opponents_knocked_do|击 倒 对 手 :{reg1}
qstr_Opponents_left:_{reg|剩 下 对 手 :{reg1}
qstr_Opponents_beaten:_{r|击 败 对 手 :{reg1}
qstr_Opponents_remaining:|剩 余 对 手 :{reg1}
qstr_Remain_in_retirement|决 定 退 休 。 
qstr_Go_back_to_the_adven|继 续 冒 险 。 
qstr_You_have_retired_at_|你 在 经 过 {reg5} 天 的 冒 险 到 达 {reg4}级 的 时 候 决 定 退 休 了 。 
qstr_Effect_on_Score|得 分 影 响 
qstr_Settlements_owned_by|你 的 领 地 数 :{reg0}
qstr_Friendly_Settlements|友 军 领 地 数 :{reg0}
qstr_Hostile_Settlements:|敌 军 领 地 数 :{reg0}
qstr_Friendly_Lords:_{reg|友 军 领 主 :{reg0}
qstr_Enemy_Lords:_{reg0}|敌 军 领 主 :{reg0}
qstr_Victories:_{reg0}|胜 利 :{reg0}
qstr_Defeats:_{reg0}|失 败 :{reg0}
qstr_Quests_Completed:_{r|任 务 完 成 :{reg0}
qstr_Companions_Found:_{r|同 伴 加 入 人 数 :{reg0}
qstr_Companions_Lost/Depa|同 伴 失 散 人 数 :{reg0}
qstr_Wealth:_{reg0}_denar|财 富 :{reg0}第 纳 尔 
qstr_Inventory:_{reg0}_de|物 品 栏 中 的 财 富 :{reg0}第 纳 尔 
qstr_Renown:_{reg0}|声 望 :{reg0}
qstr_Experience:_{reg0}|经 验 :{reg0}
qstr_Days_Passed:_{reg0}|天 数 :{reg0}
qstr_Difficulty:_{reg0}%|难 度 :{reg0}% 
qstr_TOTAL_SCORE:_{reg0}|总 分 :{reg0}
qstr_the_{s15}|{s15}
qstr_the_{s16}_and_{s15}|{s16}和 {s15}
qstr_the_{s16}_{s15}|{s16}， {s15}
qstr__conquered_{s15}|征 服 {s15}， 
qstr_self_proclaimed_{reg|自 封 {reg63?国 王 :女 王 }
qstr_minor_lord|地 方 领 主 
qstr_mercenary_captain|佣 兵 队 长 
qstr_None|无 
qstr_{s4}_s_achievements_|{s4}经 过 {reg5} 天 冒 险 获 得 了 如 下 成 就 :
qstr_Deathbringer|死 亡 杀 手 
qstr__killed_{reg0}_enemi|(单 场 战 斗 中 杀 了 {reg0}个 敌 人 )
qstr_Masterful_Warrior|勇 士 之 王 
qstr__{reg0}_enemies_kill|(共 计 杀 死 /伤 {reg0}个 敌 人 )
qstr_Legendary_Warrior|传 奇 武 士 
qstr_Battle_Master|常 胜 将 军 
qstr__won_{reg0}_victorie|(取 得 了 {reg0}次 胜 利 )
qstr_Great_General|百 战 名 将 
qstr_Defender_of_Pendor|潘 德 保 卫 者 
qstr__defeated_{reg0}_her|(击 败 了 {reg0}个 英 雄 )
qstr_Guardian_of_Pendor|潘 德 捍 卫 者 
qstr_Bane_of_Vejovis|维 约 维 斯 神 之 克 星 
qstr__wiped_out_a_Mystmou|(歼 灭 一 支 迷 雾 山 大 军 )
qstr_Cult_Banisher|拜 蛇 教 克 星 
qstr__wiped_out_a_Snake_C|(歼 灭 一 支 拜 蛇 教 大 军 )
qstr_Scourge_of_Jatu|迦 图 之 鞭 
qstr__wiped_out_a_Jatu_ar|(歼 灭 一 支 迦 图 大 军 )
qstr_Purger_of_Heresy|异 端 清 除 者 
qstr__wiped_out_a_Heretic|(歼 灭 一 支 异 端 大 军 )
qstr_Arena_Survivor|竞 技 场 生 存 者 
qstr__won_in_{reg0}_tourn|(在 {reg0}场 锦 标 赛 中 获 胜 )
qstr_Tournament_Champion|竞 技 之 王 
qstr_{reg63?Hero:Heroine}|潘 德 {reg63?英 雄 :女 英 雄 }
qstr__gained_{reg0}_renow|(获 得 {reg0}点 声 望 )
qstr_{reg63?Lion:Lioness}|潘 德 猛 狮 
qstr_Chevalier_of_Pendor|潘 德 侠 义 骑 士 
qstr__gained_{reg0}_honor|(获 得 {reg0}点 荣 誉 )
qstr_Rogue_{reg63?King:Qu|山 寨 {reg63?大 王 :女 王 }
qstr__declared_a_sovereig|(宣 布 独 立 )
qstr_Great_Persuader|雄 辩 说 客 
qstr__persuaded_{reg0}_lo|(说 服 了 {reg0}位 领 主 加 入 王 国 )
qstr_Master_Builder|建 筑 大 师 
qstr__built_{reg0}_improv|(完 成 {reg0}项 升 级 )
qstr_Competent_Aide|得 力 助 手 
qstr__completed_{reg0}_qu|(完 成 {reg0}次 任 务 )
qstr_Epitome_of_Ineptitud|超 级 饭 桶 
qstr__failed_{reg0}_quest|({reg0}次 任 务 失 败 )
qstr_Slippery_Fellow|凡 士 林 
qstr__captured_{reg0}_tim|(被 俘 虏 {reg0}次 )
qstr_Caravan_Marauder|商 队 掠 夺 者 
qstr__raided_{reg0}_carav|(打 劫 商 队 {reg0}次 )
qstr_Village_Plunderer|烧 村 狂 魔 
qstr__raided_{reg0}_villa|(洗 劫 村 庄 {reg0}次 )
qstr_Blatant_Deceiver|无 耻 的 骗 子 
qstr__cheated_in_battle_|(战 斗 中 作 弊 )
qstr_Order_Grandmaster|骑 士 团 大 团 长 
qstr__became_a_leader_of_|(成 为 一 名 骑 士 团 团 长 )
qstr_More.|更 多 
qstr_Back.|返 回 
qstr_You_have_been_awarde|你 得 到 了 一 项 成 就 ！ 
qstr_Continue.|继 续 
qstr_A_Knighthood_Order_c|发 现 一 个 骑 士 团 礼 堂 ！ 
qstr_{s11}_of_the_{s12}_h|{s12}的 {s11}在 {s14}建 立 了 一 个 {s13}的 骑 士 团 礼 堂 。 
qstr_Pendor_:__Conquered_|潘 德 :被 {s11}征 服 。 
qstr_The_{s11}_has_defeat|{s11}已 经 打 败 所 有 的 对 手 ， 建 立 了 一 个 统 一 的 国 家 。 马 迪 甘 的 预 言 实 现 了 ！ 一 个 新 国 家 诞 生 了 ！ 
qstr_Pendor_:__Conquered_b|潘 德 :被 一 个 王 国 征 服 。 
qstr_{s11}_has_defeated_a|{s11}击 败 了 所 有 对 手 ， 建 立 了 一 个 统 一 的 国 家 。 马 迪 甘 的 预 言 实 现 了 ！ 一 个 新 国 家 诞 生 了 ！ 
qstr_Factions|阵 营 
qstr_Show_towns|显 示 城 市 
qstr_Show_castles|显 示 城 堡 
qstr_Show_villages|显 示 村 庄 
qstr_Tip:_move_the_mouse_|提 示 :将 滑 鼠 移 至 黑 色 方 块 上 以 查 看 名 字 。 
qstr_The_World_Map|潘 德 地 图 
qstr_Done|完 成 
qstr_P_o_P___O_p_t_i_o_n_|P o P O p t i o n s
qstr_Scroll_down_for_more|向 下 滚 动 滚 轮 以 选 择 更 多 选 项 
qstr_Battle_options|战 斗 选 项 
qstr_Battlefield_size_|战 场 大 小 
qstr_840x840m|840x840m
qstr_550x550m|550x550m
qstr_240x240m|240x240m 
qstr_Adaptive|适 中 
qstr_Battle_reinforcement|野 战 战 场 增 援 次 数 :
qstr_Unlimited|无 限 
qstr_18|18
qstr_16|16
qstr_14|14
qstr_12|12
qstr_10|10
qstr_8|8
qstr_6|6
qstr_4|4
qstr_2|2
qstr_Siege_reinforcement_|围 城 战 战 场 增 援 次 数 :
qstr_36|36
qstr_32|32
qstr_28|28
qstr_24|24
qstr_20|20
qstr_Enhanced_horse_arche|强 化 弓 骑 兵 AI
qstr_Disabled|禁 用 
qstr_NPCs_only|只 给 NPC
qstr_All_units|全 部 士 兵 
qstr_Garrison_left_by_AI_|AI攻 城 后 留 下 来 的 驻 军 
qstr_Large__default_|大 量 (预 设 )
qstr_Medium|中 等 
qstr_Small|少 量 
qstr_Disable_troop_routin|禁 止 军 队 溃 逃 
qstr_Enable_Formations_|启 用 阵 型 
qstr_Battle_interface|战 斗 介 面 
qstr_Show_personal_kill_c|显 示 个 人 击 杀 数 
qstr_Battle_ratio_bar_|战 斗 力 量 对 比 条 
qstr_shows_proportion_of_|显 示 各 方 存 活 士 兵 的 数 量 比 
qstr_Ratio_bar_shows_rese|数 量 比 包 含 各 方 的 后 备 兵 力 
qstr_reports_global_battl|双 方 人 数 计 算 时 包 含 未 出 场 的 兵 力 
qstr_Display_a_message_on|当 友 军 伤 亡 时 显 示 讯 息 
qstr_best_with__report_ca|最 好 取 消 勾 选 骑 砍 选 项 中 的 “ 报 告 伤 亡 ” 
qstr_Display_a_message_on_|当 玩 家 击 杀 时 显 示 讯 息 
qstr_Custom_Knighthood_Or|自 建 骑 士 团 
qstr_Chance_of_stats_upgr|每 18小 时 的 能 力 提 升 机 率 
qstr_1.5%|1.5%
qstr_2%|2%
qstr_3%__Default_|3% (预 设 )
qstr_4%|4%
qstr_5.5%|5.5%
qstr_7.5%|7.5%
qstr_10%|10%
qstr_13%|13%
qstr_17%|17%
qstr_25%|25%
qstr_50%|50%
qstr_Equipment_cost_|换 装 费 用 
qstr_200%|200%
qstr_150%|150%
qstr_120%|120%
qstr_110%|110%
qstr_100%__Default_|100% (预 设 )
qstr__90%| 90%
qstr__80%| 80%
qstr__60%| 60%
qstr__40%| 40%
qstr__20%| 20%
qstr__10%| 10%
qstr_Equipping_time_|换 装 时 间 
qstr_Miscellaneous|杂 项 
qstr_Fade_from_black_|黑 色 淡 入 / 淡 出 
qstr_when_entering_a_room|当 换 场 景 时 
qstr_Lords_don_t_bring_fi|禁 止 领 主 带 封 地 加 入 玩 家 势 力 :
qstr_No_auto_defections_|关 闭 自 动 叛 变 :
qstr_Village_requests_in_|村 庄 请 求 讯 息 只 在 提 示 中 出 现 :
qstr_Village_attacks_in_n|村 庄 袭 击 讯 息 只 在 提 示 中 出 现 :
qstr_Important_news_only_|只 显 示 重 要 讯 息 
qstr_Play_companion_dialo|显 示 同 伴 对 话 :
qstr_Reinforcement_waves_|野 战 战 场 增 援 次 数 被 设 为 {reg0}次 
qstr_Reinforcement_waves_f|围 城 战 战 场 增 援 次 数 被 设 为 {reg0}次 
qstr_Others|其 他 
qstr_KOs_Knights|骑 士 团 骑 士 
qstr_KOs_Sergeants|骑 士 团 军 士 
qstr_Mercenaries|雇 佣 兵 
qstr_Adventurers|冒 险 者 
qstr_Kingdom_of_Pendor|潘 德 王 国 
qstr_Close|关 闭 
qstr_Click_the_avatars_to|点 击 头 像 查 看 详 细 讯 息 
qstr_Level:_{reg3}^Health|等 级 :{reg3}^生 命 值 :{reg4}
qstr_Attributes|属 性 
qstr_STR^AGI^INT^CHA|力 量^敏 捷^智 力^魅 力 
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|技 能 
qstr_Ironflesh^Power_Stri|铁 骨^强 击^强 掷^强 弓^盾 防^跑 动^骑 术^骑 射 
qstr_Proficiencies|武 器 熟 练 度 
qstr_1H_Weapons^2H_Weapon|单 手 武 器^双 手 武 器^长 杆 武 器^弓^弩^投 掷^火 器
qstr_Equipment|装 备 
qstr_0_kills|0击 杀 
qstr_{reg3}_kill|{reg3}击 杀 
qstr_{reg3}_kills|{reg3}击 杀 
qstr_{s1}_of_the_{s3}_was|{s3}的 {s1}在 战 场 上 被 {s2}击 败 ， 但 设 法 逃 跑 了 。 
qstr_The_{s2}_have_sacked|{s2}洗 劫 了 {s1}。 
qstr_{s54}_is_a_claimant_|{s54}声 称 应 由 他 坐 上 {s56}的 王 座 。 
qstr_no_holdings|往 日 余 晖 。 
qstr_{s57}_and_{s58}|{s57}和 {s58}
qstr_{reg3?She:He}|{reg3?她 :他 }
qstr_The_town_of_{s50}|{s50}城 
qstr_The_village_of_{s50}|{s52}附 近 的 村 庄 {s50}
qstr_{s51}_belongs_to_{s1|{s51}归 {s2}的 {s1}所 有 。^
qstr_{s2}There_is_a_chapt|{s2}这 里 有 一 个 {s1}的 礼 堂 。 ^
qstr_{s2}Garrison_trainin|{s2}驻 军 训 练 :已 启 用 。^
qstr_{s2}Garrison_training|{s2}驻 军 训 练 :已 禁 用 。^
qstr_{s7}_and_{s8}|{s7}和 {s8}
qstr_{s2}It_has_no_villag|{s2}没 有 下 属 村 庄 。^
qstr_{s2}{reg0?Its_villag|{s2}下 属 的 村 庄 是 {s8}。^
qstr_{s2}Its_prosperity_i|{s2}这 里 的 繁 荣 度 为 :{s50}。 
qstr_noone|无 
qstr_{s9}_and_{s10}|{s9}和 {s10}
qstr_{s5}_has_been_defeat|{s5}被 击 败 了 ！ 
qstr_{s7}_opened_the_gate|{s7}打 开 大 门 。 
qstr_{s7}_closed_the_gate|{s7}关 闭 大 门 。 
qstr_+{reg1}_to_party_mor|部 队 士 气 增 加 {reg1}点
qstr_Requires_{reg1}_inte|需 要 {reg1}点 智 慧 才 能 读 
qstr_Reading_Progress:_{r|阅 读 进 度 :{reg1}% 
qstr_Improves_Noldor_rela|提 高 与 诺 多 关 系 
qstr_Quest_item|任 务 物 品 
qstr_wound_treatment|疗 伤 
qstr_trainer|教 练 
qstr_surgery|手 术 
qstr_+2_to_{s1}_while_in_|持 有 增 益 :{s1}技 能 加 2点 
qstr_+1_to_{s1}_while_in_|持 有 增 益 :{s1}技 能 加 1点 
qstr__interesting_to_Orde|(骑 士 团 感 兴 趣 的 物 品 )
qstr_Missile_speed:_{reg3|弹 速 : {reg33}
qstr_Upgrade_cost:_{reg0}|升 级 花 费 :{reg0}
qstr_Time_to_upgrade:_{re|升 级 时 间 :{reg1} 天 。 
qstr_Move_here|移 动 到 这 里 
qstr_View_notes|查 看 记 录 
qstr_Unstick_from_River|离 开 河 流 
qstr_Accompany|伴 随 
qstr_Party_strength:_{reg|队 伍 强 度 : {reg0}
qstr_Party_no:_{reg0}|队 伍 编 号 : {reg0}
qstr_killed|死 亡 
qstr_wounded|受 伤 
qstr_{s0}^TOTAL:_{reg3}__|{s0}^总 计 :{reg3}({s2})
qstr_^None|^无 
qstr_nothing|无 
qstr_{reg0}_village{reg1?|{reg0} 村 庄 
qstr_{reg0}_castle{reg1?s|{reg0}城 堡 
qstr_{reg0}_castle{reg1?s:|{reg0}城 堡 以 及 {s0}
qstr_{reg0}_town{reg1?s:}|{reg0}城 市 
qstr_{reg0}_town{reg1?s:}_|{reg0}城 市 以 及 {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0}城 市 ， {s0}
qstr_Your_opponents_are_r|你 的 对 手 已 经 准 备 好 了 。 
qstr_Try_to_destroy_as_ma|你 需 要 在 两 分 半 钟 的 时 间 内 尽 可 能 多 的 摧 毁 目 标 。 
qstr_Stay_behind_the_line|站 在 线 后 射 击 目 标 。 尽 量 不 要 浪 费 任 何 一 发 弹 药 。 
qstr_Battle_Advantage_=_{|战 场 优 势 为 {reg0}。 
qstr_{s9}_wants_you_to_re|{s9}希 望 你 能 够 在 接 到 进 一 步 的 指 令 以 前 跟 着 他 的 部 队 前 进 。 
qstr_{s0}_fails_to_bring_|{s0}未 能 携 带 封 地 加 入 你 的 阵 营 ！ 
qstr_{s4}_is_awarded_to_{|{s4}被 授 予 给 {s6}的 {s5}。 
qstr_From_now_{s4}_belong|现 在 {s4}是 属 于 {s6}的 {s5}的 了 。 
qstr__Word_reaches_you_th|有 消 息 称 ， 米 尔 甘 · 基 里 克 已 经 把 名 为 狮 鹫 之 剑 的 冒 险 组 织 召 集 起 来 。 投 奔 乌 尔 里 克 国 王 的 旗 下 ！ 
qstr__Word_reaches_you_tha|有 消 息 称 ， “ 铁 剑 ” 库 丹 已 经 召 集 了 一 大 批 贵 族 和 骑 士 ， 加 入 烈 狮 王 乌 尔 里 克 的 旗 下 ！ 
qstr__Word_reaches_you_that|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 自 由 佣 兵 团 ！ 
qstr__Word_reaches_you_that_|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 一 支 梅 滕 海 姆 佣 兵 团 ！ 
qstr__Word_reaches_you_Sy|有 消 息 称 ， 希 拉 · 尤 扎 斯 ， 一 位 知 名 的 帝 国 不 朽 者 ， 召 集 了 一 支 小 规 模 的 历 战 军 团 ， 加 入 了 烈 狮 王 乌 尔 里 克 的 旗 下 ！ 
qstr__Word_reaches_you_that_K|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 一 支 菲 卡 维 亚 佣 兵 团 ！ 
qstr__Word_reaches_you_that_Ki|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 炽 热 钢 尘 军 团 ！ 
qstr__Word_reaches_you_that_Kin|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 菲 卡 维 亚 背 叛 者 ！ 
qstr__Word_reaches_you_that_King|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 第 一 皇 家 卫 队 ！ 
qstr__Word_reaches_you_that_King_|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 萨 尔 诺 征 战 队 ！ 
qstr__Word_reaches_you_that_King_U|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 狮 湖 城 第 一 旗 卫 队 ！ 
qstr__Word_reaches_you_that_King_Ul|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 雪 狮 子 军 团 ！ 
qstr__Word_reaches_you_that_King_Ulr|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 一 支 独 角 兽 骑 士 团 ！ 
qstr__Word_reaches_you_that_King_Ulri|有 消 息 称 ， 烈 狮 王 乌 尔 里 克 已 经 雇 佣 了 一 支 佣 兵 团 ！ 
qstr__Word_reaches_you_that_O|有 消 息 称 ， 弗 勒 的 欧 斯 伍 德 已 经 聚 集 了 他 的 冒 险 军 团 ， 加 入 了 凛 鸦 王 格 雷 戈 里 四 世 的 旗 下 ！ 
qstr__Word_reaches_you_that_B|有 消 息 称 ， “ 乌 鸦 爵 士 ” 波 里 斯 已 经 召 集 了 一 群 鸦 矛 骑 士 ， 加 入 了 凛 鸦 王 格 雷 戈 里 四 世 的 旗 下 ！ 
qstr__Word_reaches_you_that_Ko|有 消 息 称 ， “ 铁 剑 ” 库 丹 已 经 召 集 了 一 大 批 贵 族 和 骑 士 ， 加 入 了 凛 鸦 王 格 雷 戈 里 四 世 的 旗 下 ！ 
qstr__Word_reaches_you_that_King_G|有 消 息 称 ， 凛 鸦 王 格 雷 戈 里 四 世 已 经 雇 佣 了 自 由 佣 兵 团 ！ 
qstr__Word_reaches_you_that_King_Gr|有 消 息 称 ， 凛 鸦 王 格 雷 戈 里 四 世 已 经 雇 佣 了 一 些 凡 斯 凯 瑞 首 领 作 为 佣 兵 ！ 
qstr__Word_reaches_you_that_King_Gre|有 消 息 称 ， 凛 鸦 王 格 雷 戈 里 四 世 已 经 雇 佣 了 炽 热 钢 尘 军 团 ！ 
qstr__Word_reaches_you_that_King_Greg|有 消 息 称 ， 凛 鸦 王 格 雷 戈 里 四 世 已 经 雇 佣 了 菲 卡 维 亚 背 叛 者 ！ 
qstr__Word_reaches_you_that_King_Grego|有 消 息 称 ， 凛 鸦 王 格 雷 戈 里 四 世 已 经 雇 佣 了 第 一 皇 家 卫 队 ！ 
qstr__Word_reaches_you_that_King_Gregor|有 消 息 称 ， 凛 鸦 王 格 雷 戈 里 四 世 已 经 雇 佣 了 萨 尔 诺 征 战 队 ！ 
qstr__Word_reaches_you_that_King_Gregory|有 消 息 称 ， 凛 鸦 王 格 雷 戈 里 四 世 已 经 雇 佣 了 一 支 独 角 兽 骑 士 团 ！ 
qstr__Word_reaches_you_that_King_Gregory_|有 消 息 称 ， 凛 鸦 王 格 雷 戈 里 四 世 已 经 雇 佣 了 一 支 佣 兵 团 ！ 
qstr__Word_reaches_you_that_Bu|有 消 息 称 ， “ 篡 位 者 ” 布 里 吉 已 经 召 集 了 一 支 军 队 ， 为 巴 哈 德 汗 卡 丹 作 战 ！ 
qstr__Word_reaches_you_that_Ka|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 自 由 佣 兵 团 ！ 
qstr__Word_reaches_you_that_Kad|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 一 支 梅 滕 海 姆 佣 兵 团 ！ 
qstr__Word_reaches_you_Syl|有 消 息 称 ， 希 拉 · 尤 扎 斯 ， 一 位 知 名 的 帝 国 不 朽 者 ， 召 集 了 一 支 小 规 模 的 历 战 军 团 ， 加 入 了 巴 哈 德 汗 卡 丹 的 旗 下 ！ 
qstr__Word_reaches_you_that_Kada|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 一 些 凡 斯 凯 瑞 首 领 作 为 佣 兵 ！ 
qstr__Word_reaches_you_that_Kadan|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 一 些 迦 图 军 阀 作 为 佣 兵 ！ 
qstr__Word_reaches_you_that_Kadan_|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 炽 热 钢 尘 军 团 ！ 
qstr__Word_reaches_you_that_Kadan_B|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 菲 卡 维 亚 背 叛 者 ！ 
qstr__Word_reaches_you_that_Kadan_Ba|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 第 一 皇 家 卫 队 ！ 
qstr__Word_reaches_you_that_Kadan_Bah|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 萨 尔 诺 征 战 队 ！ 
qstr__Word_reaches_you_that_Kadan_Baha|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 辛 加 尔 贩 奴 团 ！ 
qstr__Word_reaches_you_that_Kadan_Bahad|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 因 达 尔 制 裁 军 团 ！ 
qstr__Word_reaches_you_that_Kadan_Bahadu|有 消 息 称 ， 巴 哈 德 汗 卡 丹 已 经 雇 佣 了 辛 加 尔 佣 兵 团 ！ 
qstr__Word_reaches_you_that_Bur|有 消 息 称 ，有 消 息 称 ， “ 篡 位 者 ” 布 里 吉 已 经 召 集 了 一 支 军 队 ， 他 们 现 在 为 维 迪 斯 大 王 而 战 ！ 
qstr__Word_reaches_you_that_M|有 消 息 称 ， 米 尔 甘 · 基 里 克 已 经 把 名 为 狮 鹫 之 剑 的 冒 险 组 织 召 集 起 来 ， 他 们 现 在 为 维 迪 斯 大 王 而 战 ！ 
qstr__Word_reaches_you_that_Kon|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 一 支 梅 滕 海 姆 佣 兵 团 ！ 
qstr__Word_reaches_you_that_Koni|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 自 由 佣 兵 团 ！ 
qstr__Word_reaches_you_that_Konin|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 一 支 菲 卡 维 亚 佣 兵 团 ！ 
qstr__Word_reaches_you_that_Koning|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 一 些 迦 图 军 阀 作 为 佣 兵 ！ 
qstr__Word_reaches_you_that_Koningu|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 一 支 巴 克 利 征 服 者 大 军 ！ 
qstr__Word_reaches_you_that_Koningur|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 炽 热 钢 尘 军 团 ！ 
qstr__Word_reaches_you_that_Koningur_|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 菲 卡 维 亚 背 叛 者 ！ 
qstr__Word_reaches_you_that_Koningur_V|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 第 一 皇 家 卫 队 ！ 
qstr__Word_reaches_you_that_Koningur_Va|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 萨 尔 诺 征 战 队 ！ 
qstr__Word_reaches_you_that_Koningur_Val|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 因 达 尔 制 裁 军 团 ！ 
qstr__Word_reaches_you_that_Koningur_Vald|有 消 息 称 ， 维 迪 斯 大 王 已 经 雇 佣 了 一 些 凡 斯 凯 瑞 首 领 作 为 佣 兵 ！ 
qstr__Word_reaches_you_that_Os|有 消 息 称 ， 弗 勒 的 欧 斯 伍 德 聚 集 了 他 的 冒 险 军 团 ， 加 入 了 马 略 皇 帝 的 旗 下 ！ 
qstr__Word_reaches_you_that_Bo|有 消 息 称 ， “ 乌 鸦 爵 士 ” 波 里 斯 已 经 召 集 了 一 群 鸦 矛 骑 士 ， 加 入 了 马 略 皇 帝 的 旗 下 ！ 
qstr_Word_reaches_you_tha|有 消 息 称 ， 马 略 皇 帝 已 经 雇 佣 了 一 些 巴 克 利 征 服 者 作 为 佣 兵 ！ 
qstr__Word_reaches_you_that_Kod|有 消 息 称 ， “ 铁 剑 ” 库 丹 已 经 召 集 了 一 大 批 贵 族 和 骑 士 ， 加 入 了 马 略 皇 帝 的 旗 下 ！ 
qstr__Word_reaches_you_that_Ma|有 消 息 称 ， 马 略 皇 帝 已 经 雇 佣 了 自 由 佣 兵 团 ！ 
qstr__Word_reaches_you_that_S|有 消 息 称 ， 沙 拉 凡 谢 赫 已 经 集 结 了 他 的 沙 漠 勇 士 ， 投 靠 到 马 略 皇 帝 的 旗 下 ！
qstr_Word_reaches_you_that|有 消 息 称 ， 马 略 皇 帝 已 经 雇 佣 了 一 些 迦 图 军 阀 作 为 佣 兵 ！ 
